cellI,x,y,z,V
494,0.11925,0.00075,0.001,5e-10
495,0.11975,0.00075,0.001,5e-10
496,0.12025,0.00075,0.001,5e-10
497,0.12075,0.00075,0.001,5e-10
498,0.12125,0.00075,0.001,5e-10
499,0.12175,0.00075,0.001,5e-10
500,0.12225,0.00075,0.001,5e-10
501,0.12275,0.00075,0.001,5e-10
502,0.12325,0.00075,0.001,5e-10
503,0.12375,0.00075,0.001,5e-10
504,0.12425,0.00075,0.001,5e-10
505,0.12475,0.00075,0.001,5e-10
506,0.12525,0.00075,0.001,5e-10
507,0.12575,0.00075,0.001,5e-10
508,0.12625,0.00075,0.001,5e-10
509,0.12675,0.00075,0.001,5e-10
510,0.12725,0.00075,0.001,5e-10
511,0.12775,0.00075,0.001,5e-10
512,0.00025,0.00125,0.001,5e-10
513,0.00075,0.00125,0.001,5e-10
514,0.00125,0.00125,0.001,5e-10
515,0.00175,0.00125,0.001,5e-10
516,0.00225,0.00125,0.001,5e-10
517,0.00275,0.00125,0.001,5e-10
518,0.00325,0.00125,0.001,5e-10
519,0.00375,0.00125,0.001,5e-10
520,0.00425,0.00125,0.001,5e-10
521,0.00475,0.00125,0.001,5e-10
522,0.00525,0.00125,0.001,5e-10
523,0.00575,0.00125,0.001,5e-10
524,0.00625,0.00125,0.001,5e-10
525,0.00675,0.00125,0.001,5e-10
526,0.00725,0.00125,0.001,5e-10
527,0.00775,0.00125,0.001,5e-10
528,0.00825,0.00125,0.001,5e-10
529,0.00875,0.00125,0.001,5e-10
530,0.00925,0.00125,0.001,5e-10
531,0.00975,0.00125,0.001,5e-10
532,0.01025,0.00125,0.001,5e-10
533,0.01075,0.00125,0.001,5e-10
534,0.01125,0.00125,0.001,5e-10
535,0.01175,0.00125,0.001,5e-10
536,0.01225,0.00125,0.001,5e-10
537,0.01275,0.00125,0.001,5e-10
538,0.01325,0.00125,0.001,5e-10
539,0.01375,0.00125,0.001,5e-10
540,0.01425,0.00125,0.001,5e-10
541,0.01475,0.00125,0.001,5e-10
542,0.01525,0.00125,0.001,5e-10
543,0.01575,0.00125,0.001,5e-10
544,0.01625,0.00125,0.001,5e-10
545,0.01675,0.00125,0.001,5e-10
546,0.01725,0.00125,0.001,5e-10
547,0.01775,0.00125,0.001,5e-10
548,0.01825,0.00125,0.001,5e-10
549,0.01875,0.00125,0.001,5e-10
550,0.01925,0.00125,0.001,5e-10
551,0.01975,0.00125,0.001,5e-10
552,0.02025,0.00125,0.001,5e-10
553,0.02075,0.00125,0.001,5e-10
554,0.02125,0.00125,0.001,5e-10
555,0.02175,0.00125,0.001,5e-10
556,0.02225,0.00125,0.001,5e-10
557,0.02275,0.00125,0.001,5e-10
558,0.02325,0.00125,0.001,5e-10
559,0.02375,0.00125,0.001,5e-10
560,0.02425,0.00125,0.001,5e-10
561,0.02475,0.00125,0.001,5e-10
562,0.02525,0.00125,0.001,5e-10
563,0.02575,0.00125,0.001,5e-10
564,0.02625,0.00125,0.001,5e-10
565,0.02675,0.00125,0.001,5e-10
566,0.02725,0.00125,0.001,5e-10
567,0.02775,0.00125,0.001,5e-10
568,0.02825,0.00125,0.001,5e-10
569,0.02875,0.00125,0.001,5e-10
570,0.02925,0.00125,0.001,5e-10
571,0.02975,0.00125,0.001,5e-10
572,0.03025,0.00125,0.001,5e-10
573,0.03075,0.00125,0.001,5e-10
574,0.03125,0.00125,0.001,5e-10
575,0.03175,0.00125,0.001,5e-10
576,0.03225,0.00125,0.001,5e-10
577,0.03275,0.00125,0.001,5e-10
578,0.03325,0.00125,0.001,5e-10
579,0.03375,0.00125,0.001,5e-10
580,0.03425,0.00125,0.001,5e-10
581,0.03475,0.00125,0.001,5e-10
582,0.03525,0.00125,0.001,5e-10
583,0.03575,0.00125,0.001,5e-10
584,0.03625,0.00125,0.001,5e-10
585,0.03675,0.00125,0.001,5e-10
586,0.03725,0.00125,0.001,5e-10
587,0.03775,0.00125,0.001,5e-10
588,0.03825,0.00125,0.001,5e-10
589,0.03875,0.00125,0.001,5e-10
590,0.03925,0.00125,0.001,5e-10
591,0.03975,0.00125,0.001,5e-10
592,0.04025,0.00125,0.001,5e-10
593,0.04075,0.00125,0.001,5e-10
594,0.04125,0.00125,0.001,5e-10
595,0.04175,0.00125,0.001,5e-10
596,0.04225,0.00125,0.001,5e-10
597,0.04275,0.00125,0.001,5e-10
598,0.04325,0.00125,0.001,5e-10
599,0.04375,0.00125,0.001,5e-10
600,0.04425,0.00125,0.001,5e-10
601,0.04475,0.00125,0.001,5e-10
602,0.04525,0.00125,0.001,5e-10
603,0.04575,0.00125,0.001,5e-10
604,0.04625,0.00125,0.001,5e-10
605,0.04675,0.00125,0.001,5e-10
606,0.04725,0.00125,0.001,5e-10
607,0.04775,0.00125,0.001,5e-10
608,0.04825,0.00125,0.001,5e-10
609,0.04875,0.00125,0.001,5e-10
610,0.04925,0.00125,0.001,5e-10
611,0.04975,0.00125,0.001,5e-10
612,0.05025,0.00125,0.001,5e-10
613,0.05075,0.00125,0.001,5e-10
614,0.05125,0.00125,0.001,5e-10
615,0.05175,0.00125,0.001,5e-10
616,0.05225,0.00125,0.001,5e-10
617,0.05275,0.00125,0.001,5e-10
618,0.05325,0.00125,0.001,5e-10
619,0.05375,0.00125,0.001,5e-10
620,0.05425,0.00125,0.001,5e-10
621,0.05475,0.00125,0.001,5e-10
622,0.05525,0.00125,0.001,5e-10
623,0.05575,0.00125,0.001,5e-10
624,0.05625,0.00125,0.001,5e-10
625,0.05675,0.00125,0.001,5e-10
626,0.05725,0.00125,0.001,5e-10
627,0.05775,0.00125,0.001,5e-10
628,0.05825,0.00125,0.001,5e-10
629,0.05875,0.00125,0.001,5e-10
630,0.05925,0.00125,0.001,5e-10
631,0.05975,0.00125,0.001,5e-10
632,0.06025,0.00125,0.001,5e-10
633,0.06075,0.00125,0.001,5e-10
634,0.06125,0.00125,0.001,5e-10
635,0.06175,0.00125,0.001,5e-10
636,0.06225,0.00125,0.001,5e-10
637,0.06275,0.00125,0.001,5e-10
638,0.06325,0.00125,0.001,5e-10
639,0.06375,0.00125,0.001,5e-10
640,0.06425,0.00125,0.001,5e-10
641,0.06475,0.00125,0.001,5e-10
642,0.06525,0.00125,0.001,5e-10
643,0.06575,0.00125,0.001,5e-10
644,0.06625,0.00125,0.001,5e-10
645,0.06675,0.00125,0.001,5e-10
646,0.06725,0.00125,0.001,5e-10
647,0.06775,0.00125,0.001,5e-10
648,0.06825,0.00125,0.001,5e-10
649,0.06875,0.00125,0.001,5e-10
650,0.06925,0.00125,0.001,5e-10
651,0.06975,0.00125,0.001,5e-10
652,0.07025,0.00125,0.001,5e-10
653,0.07075,0.00125,0.001,5e-10
654,0.07125,0.00125,0.001,5e-10
655,0.07175,0.00125,0.001,5e-10
656,0.07225,0.00125,0.001,5e-10
657,0.07275,0.00125,0.001,5e-10
658,0.07325,0.00125,0.001,5e-10
659,0.07375,0.00125,0.001,5e-10
660,0.07425,0.00125,0.001,5e-10
661,0.07475,0.00125,0.001,5e-10
662,0.07525,0.00125,0.001,5e-10
